Symbol,Date,Close
GS,1/2/19,172.03
GS,1/3/19,169.51
GS,1/4/19,175.05
GS,1/7/19,176.02
GS,1/8/19,175.37
GS,1/9/19,176.47
GS,1/10/19,176
GS,1/11/19,176.93
GS,1/14/19,178.72
GS,1/15/19,179.91
GS,1/16/19,197.08
GS,1/17/19,199.09
GS,1/18/19,202.54
GS,1/22/19,197.68
GS,1/23/19,196.9
GS,1/24/19,197.8
GS,1/25/19,200.74
GS,1/28/19,199.72
GS,1/29/19,200.5
GS,1/30/19,202.48
GS,1/31/19,198.01
GS,2/1/19,196.54
GS,2/4/19,197.72
GS,2/5/19,198.01
GS,2/6/19,196.62
GS,2/7/19,193.07
GS,2/8/19,191.67
GS,2/11/19,191.33
GS,2/12/19,194.49
GS,2/13/19,194.69
GS,2/14/19,192.53
GS,2/15/19,198.5
GS,2/19/19,198.67
GS,2/20/19,198.6
GS,2/21/19,196.36
GS,2/22/19,196
GS,2/25/19,198.65
GS,2/26/19,198.9
GS,2/27/19,198.1
GS,2/28/19,196.7
GS,3/1/19,198.2
GS,3/4/19,195.98
GS,3/5/19,196
GS,3/6/19,194.74
GS,3/7/19,192.77
GS,3/8/19,195.24
GS,3/11/19,195.97
GS,3/12/19,196.63
GS,3/13/19,197.25
GS,3/14/19,197.47
GS,3/15/19,198.26
GS,3/18/19,202.47
GS,3/19/19,201.12
GS,3/20/19,194.32
GS,3/21/19,194.58
GS,3/22/19,188.96
GS,3/25/19,188.51
GS,3/26/19,190.69
GS,3/27/19,190.03
GS,3/28/19,191.18
GS,3/29/19,191.99
GS,4/1/19,196.74
GS,4/2/19,197.5
GS,4/3/19,200.86
GS,4/4/19,202.23
GS,4/5/19,202.38
GS,4/8/19,202.54
GS,4/9/19,200.62
GS,4/10/19,202.98
GS,4/11/19,202.83
GS,4/12/19,207.84
GS,4/15/19,199.91
GS,4/16/19,201.84
GS,4/17/19,207.9
GS,4/18/19,205.91
GS,4/22/19,204.6
GS,4/23/19,204.14
GS,4/24/19,200.54
GS,4/25/19,201.4
GS,4/26/19,203.08
GS,4/29/19,206.92
GS,4/30/19,205.92
GS,5/1/19,204.73
GS,5/2/19,204.99
GS,5/3/19,207.52
GS,5/6/19,206.43
GS,5/7/19,202.63
GS,5/8/19,200.95
GS,5/9/19,201.63
GS,5/10/19,202.05
GS,5/13/19,194.97
GS,5/14/19,196.28
GS,5/15/19,196.4
GS,5/16/19,199.14
GS,5/17/19,197.43
GS,5/20/19,197.24
GS,5/21/19,199.11
GS,5/22/19,195.52
GS,5/23/19,191.97
GS,5/24/19,193
GS,5/28/19,189.44
GS,5/29/19,188.05
GS,5/30/19,187.37
GS,5/31/19,182.49
GS,6/3/19,183.19
GS,6/4/19,189.88
GS,6/5/19,188.44
GS,6/6/19,189.81
GS,6/7/19,189.81
GS,6/10/19,194.12
GS,6/11/19,194.73
GS,6/12/19,190.22
GS,6/13/19,191.45
GS,6/14/19,191.66
GS,6/17/19,190.83
GS,6/18/19,194.98
GS,6/19/19,195.64
GS,6/20/19,195.7
GS,6/21/19,195.94
GS,6/24/19,197.49
GS,6/25/19,196.06
GS,6/26/19,197.01
GS,6/27/19,199.32
GS,6/28/19,204.6
GS,7/1/19,206.86
GS,7/2/19,205.98
GS,7/3/19,206.04
GS,7/5/19,207.9
GS,7/8/19,205.75
GS,7/9/19,207.77
GS,7/10/19,205.97
GS,7/11/19,211.35
GS,7/12/19,213.94
GS,7/15/19,211.58
GS,7/16/19,215.52
GS,7/17/19,213.3
GS,7/18/19,214.52
GS,7/19/19,213.52
GS,7/22/19,214
GS,7/23/19,219.43
GS,7/24/19,222.03
GS,7/25/19,219.98
GS,7/26/19,222.14
GS,7/29/19,220.32
GS,7/30/19,221.4
GS,7/31/19,220.13
GS,8/1/19,211.6
GS,8/2/19,209.37
GS,8/5/19,201.68
GS,8/6/19,206.01
GS,8/7/19,205.74
GS,8/8/19,207
GS,8/9/19,206.9
GS,8/12/19,201.52
GS,8/13/19,204.11
GS,8/14/19,195.56
GS,8/15/19,196.18
GS,8/16/19,199.42
GS,8/19/19,202.2
GS,8/20/19,199.98
GS,8/21/19,200.68
GS,8/22/19,202.42
GS,8/23/19,196.2
GS,8/26/19,199.65
GS,8/27/19,198.07
GS,8/28/19,200.42
GS,8/29/19,203.44
GS,8/30/19,203.91
GS,9/3/19,198.97
GS,9/4/19,201.73
GS,9/5/19,207.05
GS,9/6/19,207.21
GS,9/9/19,211.98
GS,9/10/19,215.63
GS,9/11/19,216.8
GS,9/12/19,218.74
GS,9/13/19,219.9
GS,9/16/19,217.22
GS,9/17/19,215.91
GS,9/18/19,217.08
GS,9/19/19,215.23
GS,9/20/19,213.74
GS,9/23/19,213.46
GS,9/24/19,207.75
GS,9/25/19,210.03
GS,9/26/19,208.22
GS,9/27/19,208.97
GS,9/30/19,207.23
GS,10/1/19,202.69
GS,10/2/19,198.25
GS,10/3/19,197.24
GS,10/4/19,200.8
GS,10/7/19,200.4
GS,10/8/19,197.37
GS,10/9/19,196.85
GS,10/10/19,199.87
GS,10/11/19,204.68
GS,10/14/19,205.82
GS,10/15/19,206.46
GS,10/16/19,207.42
GS,10/17/19,206.46
GS,10/18/19,206.52
GS,10/21/19,209.25
GS,10/22/19,209.6
GS,10/23/19,211.32
GS,10/24/19,211.05
GS,10/25/19,214.23
GS,10/28/19,217.75
GS,10/29/19,217.64
GS,10/30/19,215.81
GS,10/31/19,213.38
GS,11/1/19,217.39
GS,11/4/19,219.87
GS,11/5/19,218.64
GS,11/6/19,218.42
GS,11/7/19,223.29
GS,11/8/19,222.91
GS,11/11/19,219.03
GS,11/12/19,220.41
GS,11/13/19,219.32
GS,11/14/19,219.43
GS,11/15/19,220.25
GS,11/18/19,219.73
GS,11/19/19,220.04
GS,11/20/19,217.91
GS,11/21/19,218.23
GS,11/22/19,220.28
GS,11/25/19,222.75
GS,11/26/19,222.45
GS,11/27/19,222.95
GS,11/29/19,221.35
GS,12/2/19,217.64
GS,12/3/19,212.24
GS,12/4/19,215.94
GS,12/5/19,217.14
GS,12/6/19,224.61
GS,12/9/19,221.81
GS,12/10/19,221.88
GS,12/11/19,221.19
GS,12/12/19,226.05
GS,12/13/19,225
GS,12/16/19,228.04
GS,12/17/19,231.15
GS,12/18/19,230.45
GS,12/19/19,229.94
GS,12/20/19,228.93
GS,12/23/19,229.09
GS,12/24/19,229.91
GS,12/26/19,231.21
GS,12/27/19,230.66
